test,encls,ecreate,eadd,eextend,einit,eaug,enclu,eenter,eresume,eexit,egetkey,ereport,eaccept,mode switch,tlb flush,total
keyoutside-startup,16679,1,981,15696,1,0,16,1,7,8,0,0,0,16,16,33422
keyoutside-runRSA,16679,1,981,15696,1,0,42,1,20,21,0,0,0,42,42,33526
keyoutside-runECDHE,16679,1,981,15696,1,0,58,1,28,29,0,0,0,58,58,33590
keyoutsize-perRSArequest,0,0,0,0,0,0,26,0,13,13,0,0,0,26,26,104
keyoutside-perECDHErequest,0,0,0,0,0,0,42,0,21,21,0,0,0,42,42,168
,,,,,,,,,,,,,,,,
keyinside-startup,16679,1,981,15696,1,0,16,1,7,8,0,0,0,16,16,33422
keyinside-runRSA,16679,1,981,15696,1,0,110,1,54,55,0,0,0,110,110,33798
keyinside-runECDHE,16679,1,981,15696,1,0,126,1,62,62,0,0,0,126,126,33861
keyinside-perRSArequest,0,0,0,0,0,0,94,0,47,47,0,0,0,94,94,376
keyinside-perECDHErequest,0,0,0,0,0,0,110,0,55,54,0,0,0,110,110,439
